Name,ISIN,Sector,Market,Currency,Industry
BCA POP SONDRIO,IT0000784196,Financial Services,Trading After Hours,EUR,Banks - Regional
BCA PROFILO,IT0001073045,Financial Services,Euronext Milan,EUR,Banks - Regional
BCO DESIO BRIANZA,IT0001041000,Financial Services,Euronext Milan,EUR,Banks - Regional
BE SEMICONDUCTOR,NL0012866412,Technology,Trading After Hours,EUR,Semiconductor Equipment & Materials
BEBO HEALTH,CH1148983609,,Euronext Access Paris,EUR,
Bechtle,DE0005158703,Technology,Euronext Global Equity Market,EUR,Information Technology Services
BEEWIZE,IT0001487047,Technology,Euronext Milan,EUR,Information Technology Services
BEIERSDORF,DE0005200000,Consumer Defensive,Trading After Hours,EUR,Household & Personal Products
Beijer Ref AB,SE0015949748,Industrials,Euronext Global Equity Market,EUR,Industrial Distribution
BEKAERT,BE0974258874,Industrials,Euronext Brussels,EUR,Metal Fabrication
BELIMO,CH1101098163,Industrials,Euronext Global Equity Market,EUR,Building Products & Equipment
BELLINI NAUTICA,IT0005497042,Consumer Cyclical,Euronext Growth Milan,EUR,Recreational Vehicles
BELUGA,BE0003723377,,Euronext Expert Market,EUR,
BELYSSE GROUP,BE0974314461,Consumer Cyclical,Euronext Brussels,EUR,Textile Manufacturing
BEM INVEST,BE0046318490,,Euronext Expert Market,EUR,
BENETEAU,FR0000035164,Consumer Cyclical,Euronext Paris,EUR,Recreational Vehicles
BENFICA,PTSLB0AM0010,Communication Services,Euronext Lisbon,EUR,Entertainment
BERGEN CARBON SOL,NO0010950249,,Euronext Growth Oslo,NOK,
BERNARD LOISEAU,FR0000066961,Consumer Cyclical,Euronext Growth Paris,EUR,Restaurants
BERTOLOTTI,IT0005585127,,Euronext Growth Milan,EUR,
BESTBE HOLDING,IT0005611642,Financial Services,Euronext Milan,EUR,Asset Management
BEVER HOLDING,NL0000285278,Real Estate,Euronext Amsterdam,EUR,Real Estate - Development
BEWI,NO0010890965,Consumer Cyclical,Oslo Børs,NOK,Packaging & Containers
BFF BANK,IT0005244402,Financial Services,Euronext Milan,EUR,Credit Services
BGL BNP PARIBAS,LU0097891112,,Euronext Expert Market,EUR,
BIC,FR0000120966,Consumer Defensive,Euronext Paris,EUR,Household & Personal Products
BIEN SPAREBANK,NO0012706763,Financial Services,Oslo Børs,NOK,Banks - Regional
BIESSE,IT0003097257,Industrials,Euronext Milan,EUR,Specialty Industrial Machinery
BIGBEN INTERACTIVE,FR0000074072,Technology,Euronext Paris,EUR,Consumer Electronics
BIL,LU0006040975,,Euronext Expert Market,EUR,
BILENDI,FR0004174233,Communication Services,Euronext Growth Paris,EUR,Advertising Agencies
Bilfinger SE,DE0005909006,Industrials,Euronext Global Equity Market,EUR,Engineering & Construction
BIO INOX,FR001400UBS7,,Euronext Access Paris,EUR,
BIO-UV GROUP,FR0013345493,,Euronext Growth Paris,EUR,
BIOCARTIS,BE0974281132,,Euronext Brussels,EUR,
BIOMERIEUX,FR0013280286,Healthcare,Trading After Hours,EUR,Diagnostics & Research
BIOPHYTIS,FR001400OLP5,Healthcare,Euronext Growth Paris,EUR,Biotechnology
BIOPHYTIS BSA,FR001400YN90,,Euronext Growth Paris,EUR,
BIOPHYTIS BSA,FR001400LN79,,Euronext Growth Paris,EUR,
BIOSENIC,BE0974280126,Healthcare,"Euronext Brussels, Paris",EUR,Biotechnology
BIOSYNEX,FR0011005933,Healthcare,Euronext Growth Paris,EUR,Medical Devices
BIOTALYS,BE0974386188,,Euronext Brussels,EUR,
BIP INV. PARTNERS,LU0110790085,,Euronext Expert Market,EUR,
